timestamp,temp_internal_number,door,door2,door3,smoke,power_failure,flood,flood2,remote_temp,plant_voltage,generator,hydrogen
09-01-18 00:03,68.1,,,,,,,,,-55.1,,
09-01-18 00:04,67.9,,,,,,,,,-54.9,,
09-01-18 00:05,67.9,,,,,,,,,-54.9,,
09-01-18 00:06,67.9,,,,,,,,,-54.9,,
09-01-18 00:07,68.2,,,,,,,,,-55.1,,
09-01-18 00:08,68.3,,,,,,,,,-55.0,,
09-01-18 00:09,68.2,,,,,,,,,-55.1,,
09-01-18 00:10,68.3,,,,,,,,,-54.9,,
09-01-18 00:11,68.4,,,,,,,,,-54.9,,
09-01-18 00:12,68.3,,,,,,,,,-55.1,,
09-01-18 00:13,67.8,,,,,,,,,-54.9,,
09-01-18 00:14,68.4,,,,,,,,,-54.9,,
09-01-18 00:15,68.0,,,,,,,,,-55.0,,
09-01-18 00:16,68.1,,,,,,,,,-54.9,,
09-01-18 00:17,68.1,,,,,,,,,-54.9,,
09-01-18 00:18,68.5,,,,,,,,,-55.1,,
09-01-18 00:19,68.3,,,,,,,,,-54.9,,
09-01-18 00:20,68.6,,,,,,,,,-54.9,,
09-01-18 00:21,68.5,,,,,,,,,-55.0,,
09-01-18 00:22,68.3,,,,,,,,,-55.1,,
09-01-18 00:23,68.1,,,,,,,,,-55.1,,
09-01-18 00:24,67.9,,,,,,,,,-55.1,,
09-01-18 00:25,67.8,,,,,,,,,-55.1,,
09-01-18 00:26,68.0,,,,,,,,,-54.9,,
09-01-18 00:27,68.1,,,,,,,,,-55.0,,
09-01-18 00:28,68.3,,,,,,,,,-54.9,,
09-01-18 00:29,68.6,,,,,,,,,-54.9,,
09-01-18 00:30,68.0,,,,,,,,,-55.1,,
09-01-18 00:31,68.1,,,,,,,,,-55.0,,
09-01-18 00:32,68.3,,,,,,,,,-55.1,,
09-01-18 00:33,68.3,,,,,,,,,-55.1,,
09-01-18 00:34,68.3,,,,,,,,,-54.9,,
09-01-18 00:35,68.1,,,,,,,,,-54.9,,
09-01-18 00:36,68.2,,,,,,,,,-54.9,,
09-01-18 00:37,68.1,,,,,,,,,-54.9,,
09-01-18 00:38,68.3,,,,,,,,,-54.9,,
09-01-18 00:39,68.2,,,,,,,,,-55.0,,
09-01-18 00:40,68.0,,,,,,,,,-54.9,,
09-01-18 00:41,67.6,,,,,,,,,-54.9,,
09-01-18 00:42,67.7,,,,,,,,,-55.1,,
09-01-18 00:43,68.1,,,,,,,,,-54.9,,
09-01-18 00:44,68.0,,,,,,,,,-54.9,,
09-01-18 00:45,67.7,,,,,,,,,-54.9,,
09-01-18 00:46,67.8,,,,,,,,,-54.9,,
09-01-18 00:47,67.8,,,,,,,,,-54.9,,
09-01-18 00:48,67.7,,,,,,,,,-55.1,,
09-01-18 00:49,67.3,,,,,,,,,-55.0,,
09-01-18 00:50,68.0,,,,,,,,,-54.9,,
09-01-18 00:51,67.8,,,,,,,,,-54.9,,
09-01-18 00:52,67.5,,,,,,,,,-54.9,,
09-01-18 00:53,67.5,,,,,,,,,-54.9,,
09-01-18 00:54,67.5,,,,,,,,,-55.1,,
09-01-18 00:55,67.8,,,,,,,,,-54.9,,
09-01-18 00:56,67.6,,,,,,,,,-55.0,,
09-01-18 00:57,67.4,,,,,,,,,-54.9,,
09-01-18 00:58,67.3,,,,,,,,,-55.1,,
09-01-18 00:59,67.9,,,,,,,,,-54.9,,
09-01-18 01:00,68.0,,,,,,,,,-55.1,,
09-01-18 01:01,67.6,,,,,,,,,-54.9,,
09-01-18 01:02,67.7,,,,,,,,,-55.0,,
09-01-18 01:03,68.0,,,,,,,,,-54.9,,
09-01-18 08:44,66.4,,,,,,,,,-55.0,,
09-01-18 08:45,66.4,,,,,,,,,-55.0,,
09-01-18 08:46,66.4,,,,,,,,,-54.9,,
09-01-18 08:47,66.8,,,,,,,,,-54.9,,
09-01-18 08:48,67.0,,,,,,,,,-54.9,,
09-01-18 08:49,66.7,,,,,,,,,-54.9,,
09-01-18 08:50,66.8,,,,,,,,,-54.9,,
09-01-18 08:51,66.7,,,,,,,,,-55.0,,
09-01-18 08:52,66.5,,,,,,,,,-54.9,,
09-01-18 08:53,66.7,,,,,,,,,-54.9,,
09-01-18 08:54,66.6,,,,,,,,,-55.1,,
09-01-18 08:55,66.4,,,,,,,,,-55.1,,
09-01-18 08:56,66.1,,,,,,,,,-55.1,,
09-01-18 08:57,66.3,,,,,,,,,-55.0,,
09-01-18 08:58,66.4,,,,,,,,,-54.9,,
09-01-18 08:59,66.3,,,,,,,,,-55.0,,
09-01-18 09:00,66.7,,,,,,,,,-55.1,,
09-01-18 09:01,66.2,,,,,,,,,-54.9,,
09-01-18 09:02,66.6,,,,,,,,,-54.9,,
09-01-18 09:03,66.3,,,,,,,,,-54.9,,
09-01-18 09:04,66.2,,,,,,,,,-55.0,,
09-01-18 09:05,66.6,,,,,,,,,-55.1,,
09-01-18 09:06,66.8,,,,,,,,,-55.1,,
09-01-18 09:07,67.0,,,,,,,,,-54.9,,
09-01-18 09:08,67.0,,,,,,,,,-54.9,,
09-01-18 09:09,66.5,,,,,,,,,-54.9,,
09-01-18 09:10,66.5,,,,,,,,,-54.9,,
09-01-18 09:11,66.4,,,,,,,,,-55.1,,
09-01-18 09:12,66.3,,,,,,,,,-54.9,,
09-01-18 09:13,66.9,,,,,,,,,-55.1,,
09-01-18 09:14,67.0,,,,,,,,,-55.0,,
09-01-18 09:15,67.1,,,,,,,,,-54.9,,
09-01-18 09:16,66.8,,,,,,,,,-54.9,,
09-01-18 09:17,67.1,,,,,,,,,-55.1,,
09-01-18 09:18,66.6,,,,,,,,,-54.9,,
09-01-18 09:19,66.6,,,,,,,,,-54.9,,
